,prognosis,disease_name,disease_url,med_name
0,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,2AZOLE Cream 20gm
1,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,2AZOLE Lotion 30ml
2,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,8X Cream 30gm
3,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,ABZORB ANTIFUNGAL Soap 100gm
4,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AF 150mg Tablet 1'S
5,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AF 200mg Tablet 1'S
6,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AF 300mg Tablet 1'S
7,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AF 400mg Tablet 1'S
8,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AF 50mg Tablet 4'S
9,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AF 200 Tablet 5's
10,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Af C Dusting Powder 100gm
11,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AFDERM MN + Cream 15gm
12,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,ALCROS 100mg Capsule 10's
13,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,ALCROS 200 Capsule 10's
14,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,ALCROS SB 130 Capsule 10's
15,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,ALCROS SB 50 Capsule 10's
16,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,ALIMNATOR Cream 30gm
17,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Ambisome 50mg Injection 1'S
18,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Amfy V Gel(Topical) 15gm
19,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMOCOP Cream 30gm
20,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Amonext Cream 30gm
21,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMOREAL Cream 30gm
22,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Amoron Cream 30gm
23,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMORSKIN Cream 30gm
24,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Amortas Cream 15gm
25,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Amortas Cream 30gm
26,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMROBRUT Cream 10gm
27,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMROBRUT Cream 25gm
28,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Amrocan Cream 30gm
29,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMROLFUNG Cream 30gm
30,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Amrolmac Cream 15gm
31,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Amrolmac Cream 30gm
32,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMROLSTAR Cream 50gm
33,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMROLSTAR Lotion 30ml
34,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMROLSTAR Nail Lacquer 2.5ml
35,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Amrolstar 0.25% Cream 10gm
36,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Amrolstar 0.25% Cream 30gm
37,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Amrosys Cream 15gm
38,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Amrosys Cream 30gm
39,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,APEXITRA 100mg Capsule 10's
40,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,APEXITRA 200 Capsule 10's
41,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,APEXITRA SB 130 Capsule 10's
42,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,APEXITRA SB 65 Capsule 10's
43,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AUXERG Cream 50gm
44,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AXTRA 100 Capsule 10's
45,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,ALBIFIN S Ointment 30gm
46,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,ALBIRID 200 Capsule 10's
47,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,ALTISPOR 200 Capsule 10's
48,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMOBREX 0.25% Cream 30gm
49,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMOTAG Cream 30gm
50,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMROFAST Cream 10gm
51,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMROFAST Cream 30gm
52,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMROFAST Cream 50gm
53,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,AMYROL Cream 50gm
54,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,BDLULI Cream 50gm
55,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,BECZOL Cream 15gm
56,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,BELITRA 200 Capsule 10's
57,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,BELITRA Capsule 7's
58,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,BELMOZ Cream 10gm
59,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,BELZOLE Cream 30gm
60,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,BORIT SB 65 Capsule 10's
61,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,C WIN Lotion 30ml
62,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,C Win Cream 30gm
63,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Candid Cream 30gm
64,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Candid Lotion 30ml
65,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CANDID B Lotion 10ml
66,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Candid B Cream 10gm
67,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Candid B Cream 20gm
68,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Candid B Lotion 30ml
69,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Candid Gold Cream 50gm
70,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Candid Gold Powder 100gm
71,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Candid Renew Talc Powder 100gm
72,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Candid Total Plus Cream 20gm
73,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Candid TV Suspension 75ml
74,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CANDIDOX Cream 30gm
75,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CANDIDOX Cream 50gm
76,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CANDIDOX Lotion 30ml
77,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CANDIDOX Shampoo 100ml
78,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CANDIFORCE 100 Capsule 10's
79,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CANDIFORCE 200 Capsule 10's
80,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CANDISKIN B Cream 20gm
81,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Canditral 100mg Capsule 10'S
82,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Canditral 200mg Capsule 10'S
83,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Canditz 100 Capsule 10'S
84,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Canditz 200mg Capsule 10'S
85,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CANESTEN Cream 30gm
86,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Canesten V6 Tablet 6'S
87,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CANROLFIN Cream 15gm
88,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CANROLFIN Cream 30gm
89,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CEASTRA 100mg Capsule 10's
90,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Ceastra XL 100mg Capsule 7'S
91,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,Ceastra XL 200mg Capsule 7'S
92,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CEFLOX CF Cream 15gm
93,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CICLOROX Cream 30gm
94,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CICO 1% Cream 30gm
95,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CICO 1% Cream 50gm
96,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CINATOP Cream 60gm
97,Fungal infection,Fungal Infections,https://www.netmeds.com/prescriptions/fungal-infections,CIVADERM Cream 30gm
